roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out,holedis_yards
87140,1564040,12,5023394,5,4,1,1,0.3333333333333333
87140,1564041,13,5023396,2,4,30,2,10.0
87140,1564041,13,5023397,3,4,12,1,4.0
87140,1564042,14,5023400,3,4,12,2,4.0
87140,1564042,14,5023401,4,4,2,1,0.6666666666666666
87140,1564043,15,5023406,5,4,4,1,1.3333333333333333
87140,1564044,16,5023409,3,4,12,2,4.0
87140,1564044,16,5023410,4,4,1,1,0.3333333333333333
87140,1564045,17,5023412,2,4,30,2,10.0
87140,1564045,17,5023413,3,4,2,1,0.6666666666666666
87140,1564046,18,5023416,3,4,30,2,10.0
87140,1564046,18,5023417,4,4,2,1,0.6666666666666666
87288,1566693,1,5032920,3,4,8,1,2.6666666666666665
87288,1566694,2,5032923,3,4,18,1,6.0
87288,1566695,3,5032927,3,4,34,2,11.333333333333334
87288,1566695,3,5032928,4,4,4,1,1.3333333333333333
87288,1566696,4,5032930,2,4,29,2,9.666666666666666
87288,1566696,4,5032931,3,4,1,1,0.3333333333333333
87288,1566697,5,5032934,3,4,12,2,4.0
87288,1566697,5,5032935,4,4,1,1,0.3333333333333333
87288,1566698,6,5032939,4,4,9,2,3.0
87288,1566698,6,5032940,5,4,1,1,0.3333333333333333
87288,1566699,7,5032943,3,4,18,2,6.0
87288,1566699,7,5032944,4,4,2,1,0.6666666666666666
87288,1566700,8,5032947,3,4,8,1,2.6666666666666665
87288,1566701,9,5032950,3,4,20,2,6.666666666666667
87288,1566701,9,5032951,4,4,2,1,0.6666666666666666
87288,1566702,10,5032955,4,4,7,2,2.3333333333333335
87288,1566702,10,5032956,5,4,1,1,0.3333333333333333
87288,1566703,11,5032960,4,4,16,2,5.333333333333333
87288,1566703,11,5032961,5,4,2,1,0.6666666666666666
87288,1566704,12,5032963,2,4,41,2,13.666666666666666
87288,1566704,12,5032964,3,4,4,1,1.3333333333333333
87288,1566705,13,5032968,4,4,6,1,2.0
87288,1566706,14,5032971,3,4,15,2,5.0
87288,1566706,14,5032972,4,4,1,1,0.3333333333333333
87288,1566707,15,5032975,3,4,55,2,18.333333333333332
87288,1566707,15,5032976,4,4,5,1,1.6666666666666667
87288,1566708,16,5032978,2,4,50,3,16.666666666666668
87288,1566708,16,5032979,3,4,8,2,2.6666666666666665
87288,1566708,16,5032980,4,4,1,1,0.3333333333333333
87288,1566709,17,5032984,4,4,12,2,4.0
87288,1566709,17,5032985,5,4,2,1,0.6666666666666666
87288,1566710,18,5032988,3,4,23,2,7.666666666666667
87288,1566710,18,5032989,4,4,4,1,1.3333333333333333
87360,1567989,1,5038058,4,4,3,1,1.0
87360,1567990,2,5038060,2,4,19,2,6.333333333333333
87360,1567990,2,5038061,3,4,2,1,0.6666666666666666
87360,1567991,3,5038064,3,4,60,3,20.0
87360,1567991,3,5038065,4,4,10,2,3.3333333333333335
87360,1567991,3,5038066,5,4,1,1,0.3333333333333333
87360,1567993,5,5038074,3,4,3,1,1.0
87360,1567996,8,5038086,3,4,18,1,6.0
87360,1567997,9,5038089,2,4,25,3,8.333333333333334
87360,1567997,9,5038090,3,4,5,2,1.6666666666666667
87360,1567997,9,5038091,4,4,1,1,0.3333333333333333
87360,1567998,10,5038094,3,4,20,2,6.666666666666667
87360,1567998,10,5038095,4,4,2,1,0.6666666666666666
87360,1567999,11,5038097,2,4,15,2,5.0
87360,1567999,11,5038098,3,4,2,1,0.6666666666666666
87360,1568000,12,5038102,4,4,6,1,2.0
87360,1568001,13,5038106,4,4,3,1,1.0
87360,1568002,14,5038109,3,4,30,2,10.0
87360,1568002,14,5038110,4,4,1,1,0.3333333333333333
87360,1568003,15,5038114,4,4,5,1,1.6666666666666667
87360,1568004,16,5038116,2,4,40,2,13.333333333333334
87360,1568004,16,5038117,3,4,3,1,1.0
87360,1568005,17,5038121,4,4,5,1,1.6666666666666667
87360,1568006,18,5038125,4,4,1,1,0.3333333333333333
87849,1576793,3,5067431,3,4,35,2,11.666666666666666
87849,1576793,3,5067432,4,4,3,1,1.0
87849,1576794,4,5067434,2,4,25,2,8.333333333333334
87849,1576794,4,5067435,3,4,8,1,2.6666666666666665
87849,1576795,5,5067438,3,4,28,2,9.333333333333334
87849,1576795,5,5067439,4,4,2,1,0.6666666666666666
88090,1581129,1,5082947,5,4,3,1,1.0
88090,1581130,2,5082951,4,4,8,2,2.6666666666666665
88090,1581130,2,5082952,5,4,1,1,0.3333333333333333
88090,1581136,8,5082957,5,4,15,2,5.0
88090,1581136,8,5082958,6,4,2,1,0.6666666666666666
